genre,artists,basket_size
3 step,"['Enoo Napa', 'DJ Maphorisa', 'Black Motion', 'Da Capo', ""Ch'cco"", 'Senior Oat', 'Heavy-K', 'Caiiro', 'Mo-T', 'Sayfar', 'TRESOR', 'Sun-El Musician', 'Thabsie', 'DJ Kent', 'Dr Moruti', 'Tee Jay', 'Fka Mash', 'Zakes Bantwini', 'Brenden Praise', '031CHOPPA', 'Ab Central', 'Baby S.O.N', 'Tshego AMG', 'Major League Djz', 'Young Stunna', 'Professor', 'Culoe De Song', 'Thandi Draai', 'Gigi Lamayne', 'Kemy Chienda', 'Khaya Mthethwa', 'Mobi Dixon', 'Harrycane', 'Dwson', 'Elaine', 'DJ Tira', 'Shimza', 'Msaki', 'Afrikan Roots', 'Dj Vitoto', 'Prince Kaybee']",41
acid house,"['Adonis', 'Mr. Fingers', 'Rebel MC', 'Tyree Cooper', 'Sweely', 'Sure Is Pure', 'Mr White', 'Adeva', 'Cari Lekebusch', 'Strip Steve', 'Ralphi Rosario', 'Outlander', 'Polypheme', 'dj funk', 'Light Year', 'Model 500', 'Jungle Brothers', 'Luke Vibert', 'Kevin Saunderson', 'Pete Heller', 'Alabama 3', 'Observer', 'New Scene', 'Union Jack', 'Joey Beltram', 'Frequency', 'Steve ""Silk"" Hurley', 'Orbital', 'Gat Decor', 'Joe Smooth', 'Larry Heard', 'Jesse Saunders', 'Jamie Principle', 'Kym Mazelle', 'e-Dancer', 'R.A.F.', 'Slam', 'Ron Wells', 'Xpansions', 'Precious', 'Nomad', 'Phuture', 'Index', 'Plastikman', 'Rhythm On The Loose', 'Scan X', 'Josh Wink', 'Richie Hawtin', ""Confetti's"", 'Thomas P. Heckmann', 'Charles B.', 'Altern 8', 'Supermayer', 'D Mob', 'Electribe 101', 'Mike Dunn', 'Awesome 3', 'People Press Play', 'CeCe Rogers', 'Cybotron', 'Alden Tyrell', 'Palms Trax', 'Spooky', 'Marshall Jefferson vs. Noosa Heads', 'D.J. Professor', 'Kim Ann Foxman', 'FPI Project', 'MC Tunes', 'Modek', 'Bomb The Bass', 'Noosa Heads', 'Two Without Hats', 'Fierce Ruling Diva', 'N Joi', 'Brothers In Rhythm', 'Robert Owens', 'Jaydee', 'LFO', 'SFV Acid', 'Galaxy 2 Galaxy', 'JTC', 'The Future Sound Of London', 'Kariya', 'Frankie Knuckles', 'Andy Blake', 'Fast Eddie', 'The Drum Club', 'Frankie Bones', 'M/A/R/R/S', 'Josh Caffe', 'Gerd', 'Maurice Joshua', 'The Micronauts', 'Tyree', 'Late Nite Tuff Guy', 'The Nightwriters', 'Bizarre Inc', 'DBX', 'Mystic Bill', 'Kicks Like A Mule', 'Peter Hook', 'Turntable Orchestra', 'Frank De Wulf', 'Praga Khan', 'Jinny', 'George Morel', 'Wink', 'Emmanuel Top', 'Acid House Kings', 'Daniel Avery', 'Black Riot', 'Ten City', 'The Shamen', 'DJ Pierre', 'Jordan', 'A Split Second', 'Raze', 'Laurent Garnier', '808 State', 'Shadow Dancer', 'Liquid', 'Underground Resistance', 'Lords Of Acid', 'Inner City', 'Curtis McClain', 'Pink Skull', 'Sonz Of A Loop Da Loop Era', 'Massimiliano Pagliara', 'Bassheads', 'Meat Beat Manifesto', 'Blake Baxter', 'Abe Duque', 'Satoshi Tomiie', 'Cubic 22', 'K-Klass', 'Jomanda', 'Luke Slater', 'The Moody Boys', 'Marshall Jefferson', 'Steve Stoll', 'Bobby Konders', 'The KLF', 'Regal', 'Kink', 'Coldcut', ""S'Express"", 'Terry Mullan', 'Dave Clarke', 'Felix Da Housecat', 'Psychic TV', 'Mr. Lee', 'Megan', 'Alison Limerick', 'Legowelt', 'Steve Bug']",155
acid jazz,"['Buscemi', 'Shake Some Action!', 'Charles Earland', 'Gare Du Nord', 'Paolo Fedreghini', 'Ben From Corduroy', 'Boozoo Bajou', 'Xaver Fischer Trio', 'Joseph Malik', 'Anthony Coleman', 'Rae & Christian', 'Jestofunk', 'Koop', 'Reuben Wilson', 'Xploding Plastix', 'The Herbaliser', 'Clara Hill', 'Us3', 'Jessica Lauren', 'Adani & Wolf', 'Fred Wesley', 'Nate James', '4hero', 'Jojo Effect', 'Four80East', 'Soulive', 'Brass Construction', 'Greyboy', 'Charlie Hunter Trio', 'Dr Rubberfunk', 'Malente', 'Skalpel', 'Neobe', 'Teenage Frames', 'Josh Roseman', 'Nostalgia 77', 'St Germain', 'Earl Zinger', 'Ronny Jordan', 'Fay Simpson', 'Melanie Charles', 'Alex Cortiz', 'Sonny Stitt', 'Basement Freaks', 'Liquid Soul', 'Cool Breeze', 'Guru', 'Funki Porcini', 'Freak Power', 'Swag', 'The Brand New Heavies', 'Bebo Best', 'Colonel Abrams', 'DJ KRUSH', 'Patchworks', 'Trüby Trio', 'Jazzanova', 'Medeski, Martin & Wood', 'Slow Train Soul', 'Melvin Sparks', 'Papik', 'Fila Brazillia', 'The Haggis Horns', ""J Boogie's Dubtronic Science"", 'Danny Losito', 'The Gold Magnolias', 'Fort Knox Five', 'Desmond Foster', 'Aurora Dee Raynes', 'SOIL & “PIMP” SESSIONS', 'Speedometer', 'Galactic', 'The Rurals', 'Aaron Tesser & The New Jazz Affair', 'Julius Papp', 'Stakka Bo', 'Jhelisa', 'Alan Scaffardi', 'Tortured Soul', 'Nicola Conte', 'Physics', 'Drizabone', 'Phat Phunktion', 'Wildcookie', 'JAFFA', 'Reel People', 'The Rebirth', 'DJ Spinna', 'Maysa', 'Gene Harris', 'Smoove & Turrell', 'Azymuth', 'Evolve', 'Josh One', 'James Hardway', 'Shakewell', 'Mr. Scruff', 'Gaelle', 'Jimmy McGriff', 'Shara Nelson', 'Niles Philips', 'Red Snapper', 'The Bahama Soul Club', 'Kyoto Jazz Massive', 'The Funky Lowlives', 'The Third Degree', 'Gabin', 'The Quantic Soul Orchestra', 'Lewis Taylor', 'Blacknuss', 'Soulstance', 'Fertile Ground', 'Mr. Electric Triangle', 'The Soultrend Orchestra', ""Mo' Horizons"", 'Joi Cardwell', 'Papa Dee', 'Cool Million', 'Lack Of Afro', 'Glambeats Corp.', 'Nikitch', 'Black Machine', 'DJ Food', 'Roberto Verástegui', 'Mark Rae', 'Get Along Gang', 'Thievery Corporation', 'Incognito', 'The Bamboos', 'Donald Byrd', 'BE', 'Dag', 'Pied Piper', 'Domu', 'Ursula 1000', 'Muki', 'Bugz in the Attic', 'Vivienne McKone', 'Matt Johnson', 'Workshy', 'Roy Ayers', 'Athome Project', 'Emma-Jean Thackray', 'The Juju Orchestra', 'D-Influence', 'Acantha Lang', 'Double Dee', ""D'Sound"", 'Digable Planets', 'Metropolitan Jazz Affair', 'Leroy Gomez', 'Karl Denson', 'Jamiroquai', 'Charlie Hunter', 'Brooklyn Funk Essentials', 'Blue Six', 'Anduze', 'Deep Street Soul', 'Buckshot LeFonque', 'All Good Funk Alliance', 'Club des Belugas', 'Young Disciples', 'Leena Conquest', 'Beady Belle', 'Minus 8', 'Hint', 'Tammy Payne', 'Barry Adamson', 'Bossasonic', 'Aquanote', 'Filippo Perbellini', 'Llorca', 'Mausiki Scales', 'Lance Ferguson', 'Electro Deluxe', 'Angela Johnson', 'Kevin Yost', 'The Greyboy Allstars', 'Atjazz', 'Montefiori Cocktail', 'Count Basic', 'King Kooba', 'Nightmares On Wax', 'Mark de Clive-Lowe', 'The Invisible Session', 'Richard ""Groove"" Holmes', 'Micatone', 'Gene Ammons', 'Dzihan & Kamien', 'Groove Collective', 'Addison Groove Project', 'Zuco 103', 'Nils Landgren Funk Unit', 'Punch&Words', 'Omar', 'DJ Cam Quartet', 'Down To The Bone', 'Alif Tree', 'Anna Brooks', 'Amp Fiddler', 'Max Sedgley', 'Iwan VanHetten', 'Seks Bomba', 'Dilouya', 'Gizelle Smith', 'Bob Cruise', 'Solsonics', 'zero dB', 'Povo', 'Brenda Boykin', 'Kid Loco', 'Breakestra', 'Jason Rebello', 'Quantic', 'Ronnie Laws', 'Jimetta Rose', 'paris match', 'Mop Mop', 'DJ Smash', 'The Super Lounge Orchestra', 'Dana Bryant', 'Dualbox', 'Mother Earth', 'TM Juke', 'The New Mastersounds', 'Wax Poetic', 'Kruder & Dorfmeister', 'Sweetback', 'Bluey', 'Tony Momrelle', 'Lonnie Liston Smith', 'Nuyorican Soul', 'Flevans', ""Stereo MC's"", 'Jamie Fox', 'Tosca', 'Wagon Cookin', 'Cleveland Watkiss', 'Bristol Love', 'Bullitt', 'Ely Bruna', 'Hird', 'Orange Factory', 'Teddy Edwards', 'Monodeluxe', 'Rodney Hunter', 'The Poets Of Rhythm', ""N'Dea Davenport"", 'Maceo Parker', 'Dave Boonshoft', 'BeebleBrox', 'Dj Spinna', 'Smoove', 'Amnesty', '[re:jazz]', 'Rob Gallagher', 'David Ngyah', 'The RH Factor', 'Sofa Surfers', 'De-Phazz', 'Sarah Jane Morris', 'Erik Truffaz', 'S-Tone Inc', 'DJ Cam', 'The Dining Rooms', 'Stephanie McKay']",266
acid rock,"['The Electric Flag', 'Gnidrolog', 'Earthless', 'Eternal', 'Love Sculpture', 'Samsara Blues Experiment', 'Evolfo', 'Hawkwind', 'Dust', 'The Mothers Of Invention', 'Sweetwater', 'Damon', 'Acid Mothers Temple & The Melting Paraiso U.F.O.', 'Music Emporium', 'Syd Barrett', 'Captain Beyond', 'Sam Gopal', 'The Rationals', 'The Ugly Ducklings', 'Uncle Acid & The Deadbeats', '13th Floor Elevators', 'Granicus', 'The Idle Race', 'The Great Society', 'The West Coast Pop Art Experimental Band', 'Jim Morrison', ""It's A Beautiful Day"", 'Tintern Abbey', 'Dead Meadow', 'Moxy', 'The Blues Magoos', 'Roy Harper', 'Naxatras', 'Aguaturbia', 'The Barbarians', 'Gong', 'Earth Opera', 'Caravan', 'The Gods', 'Nazz', 'Bardo Pond', 'The Amboy Dukes', 'Utopia', 'Iron Butterfly', 'Grateful Dead', 'Big Brother & The Holding Company', 'Sea of Green', 'Pisces', 'The Holy Mackerel', 'Acid Dad', 'Socrates Drank The Conium', 'Medusa', 'The Flock', 'The Litter', 'The Crazy World Of Arthur Brown', 'Toad', 'Group 1850', 'Steppenwolf', 'The Pretty Things', 'Andwellas Dream', 'Max Frost & The Troopers', 'Atomic Rooster', 'Gravy Train', 'The Music Machine', 'Arthur Brown', 'Wicked Lady', 'Ruthann Friedman', 'Ultimate Spinach', 'Family', 'Sky Saxon', 'The Groundhogs', 'Acid King', 'The Moving Sidewalks', 'Psychic Ills', 'Davie Allan & The Arrows', 'Lowell George & The Factory', ""Cryan' Shames"", 'The Seeds', 'Spirit', 'The Nice', 'The David', 'Count Five', 'Mondo Drag', 'D.R. Hooker', 'Czar', 'Fleur De Lys', 'Traffic', 'Feather', 'Fever Tree', 'Terry Manning', 'Soft Machine', 'Sweet Smoke', 'Janis Joplin', 'Gandalf', 'Somali Yacht Club', 'Creme Soda', 'Annaabee-Nox', 'The United States Of America', 'Moby Grape', 'Too Smooth', 'Steve Hillage', 'Frumpy', 'St. John Green', 'H.P. Lovecraft', 'Small Faces', 'Stalk-Forrest Group', 'Mother Sun', 'The Rugbys', 'July', '? & The Mysterians', 'Frijid Pink', 'The New Hobbits', 'The Peanut Butter Conspiracy', 'Thee Oh Sees', 'The Action', 'The Bonzo Dog Band', 'The Chocolate Watchband', 'The Beau Brummels', 'The Blues Project', ""John's Children"", 'Blossom Toes', 'Black Widow', 'Edgar Broughton Band', 'Silver Apples', 'Pearls Before Swine', 'Wildfire', 'Captain Beefheart & His Magic Band', ""Elmer Gantry's Velvet Opera"", 'The Lost Souls', 'Turquoise Sun', 'Azitis', 'Leaf Hound', 'Bulbous Creation', 'Jeff Liberman', 'Ozric Tentacles', 'Out Of Focus', 'Music By The Doors', 'Philip Lewin', 'Coven', 'Amon Düül II', 'Tomorrow', 'Quicksilver Messenger Service', 'Suck', 'Vanilla Fudge', 'Assemble Head In Sunburst Sound', 'Stray', 'The Golden Dawn', 'David Freiberg', 'The Byrds', 'Acid', 'Blue Cheer', 'The Shadows Of Knight', 'The Red Krayola', 'Paper Garden', 'The Human Instinct', 'Fuzz', 'Bloodrock', 'The Electric Prunes', 'Sir Lord Baltimore', 'Hollins Ferry', 'Cactus', 'The Smoke', 'Strawberry Alarm Clock', 'Phafner', 'Penny Arkade', 'Birth Control', 'The Third Bardo', 'Taste', 'Bubble Puppy', 'The Doors', 'Kaleidoscope', 'The Open Mind', 'David Axelrod', 'Grace Slick', 'Frankie and the Witch Fingers', '49th Parallel', 'Nirvana', 'Love', 'Black Bananas', 'The Chambers Brothers', 'The Incredible String Band', 'The Dream', 'Mandrake Paddle Steamer', 'Amanaz', 'Jerusalem', 'Tractor', 'Balloon Farm', 'The Yardbirds', 'Zior', 'Leisure Shores', 'Elizabeth!', 'ORB', 'Jimi Hendrix', 'Country Joe & The Fish', 'Warhorse', 'Stack Waddy', 'Aether Void', 'The 4th Movement', 'The Sacred Mushroom', 'The Black Angels', 'The Savage Resurrection', 'Rusty Evans', 'Shinki Chen', 'Arrogance', 'East Of Eden', 'The Association', 'Leland', ""Alexander 'Skip' Spence"", 'The Flying Eyes', 'Fapardokly', 'Laghonia', 'The Misunderstood', 'The Web', 'The Mojo Men', 'Joe Byrd & The Field Hippies', 'Josefus', 'The Fugs', 'Armageddon', 'The Lemon Pipers', 'Man', ""Positively 13 O'Clock"", 'Arzachel', 'Fire', 'Spooky Tooth', 'Felt', 'Cream', 'The Plastic Cloud', 'Iron Claw', 'Gift', 'Eric Burdon & the Animals', 'John Kay', 'Jefferson Airplane', 'Fresh Air', 'Jungle', 'Grapefruit', 'The Love Machine', 'Clear Light', 'Paul Kantner', 'Paul Kantner/Jefferson Starship', 'We The People', 'Jeremiah', 'Psychedelic Porn Crumpets']",242
acid techno,"['DJ Shredda', 'Hadone', 'Juliet Fox', 'Under Black Helmet', 'Kaiserdisco', 'Cari Lekebusch', 'Domino', 'Frankyeffe', 'Sam Paganini', 'Timmo', 'DECADANCE', 'Luke Vibert', 'UMEK', 'Empirion', 'Joey Beltram', 'Trigger', 'Julien Earle', 'Frequency', 'Raär', 'Butch', 'Charlie Sparks (UK)', 'Lilly Palmer', 'Deborah de Luca', 'Brutalismus 3000', 'Envoy', 'Miss Judged', 'Batto', 'Slam', 'Phuture', 'AIROD', 'Oscar Mulero', 'Plastikman', 'Scan X', 'Josh Wink', 'MRD', 'Rosa Anschütz', 'Richie Hawtin', 'Thomas P. Heckmann', 'I Hate Models', 'KAS:ST', 'Raito', 'Chris Liebing', 'umbraid', 'Enrico Sangiuliano', 'Kai Tracid', 'Phrenetic System', 'Kobosil', 'Osmo', 'Blush Response', 'Luca Eck', 'Joyhauser', 'Jay Lumen', 'Punktmidi', 'Psysex', 'Owl', 'Charlotte de Witte', 'Teenage Mutants', 'Reinier Zonneveld', 'Yves Deruyter', 'The Horrorist', 'Klangkuenstler', 'Popof', 'ANNA', 'Layton Giordani', 'Inhalt Der Nacht', 'Michael Katana', 'Mark Dekoda', 'The Micronauts', 'Klanglos', 'Héctor Oaks', 'Steve C', 'Avoid.', 'Spektre', 'Emmanuel Top', 'Mike Redfields', 'T78', 'Jensen Interceptor', 'DJ Pierre', 'Underground Resistance', 'HI-LO', 'Dusty Kid', 'Ellen Allien', 'ShortRound', 'Maddix', 'Tobias Lueke', 'Coyu', 'Amelie Lens', 'A*S*Y*S', 'Ant', 'Thomas Schumacher', 'Steve Stoll', 'Adam Beyer', 'Regal', 'The Exaltics', 'Tom Wax', 'NAEMS', 'Klaudia Gawlas', 'Roberto Molinaro', 'Terry Mullan', 'Dave Clarke', 'Felix Kröcher', 'VTSS', 'Mr. Lee', 'Joop', 'Megan', 'Claude Young', 'Lee S', 'Reset Robot']",108
acoustic country,"['The Road Hammers', 'Jason Michael Carroll', 'Mark Wills', 'INA ROSE', 'Bucky Covington', 'Scotty McCreery', 'Dustin Lynch', 'Gary Allan', 'Thomas Rhett', 'Florida Georgia Line', 'The Martial', 'Simon Casey', 'The Lost Trailers', 'Keith Anderson', 'Craig Campbell', 'Juliana Riccardi', 'Brantley Gilbert', 'Cole Swindell', 'Trace Adkins', 'Clay Walker', 'Jerrod Niemann', 'Eli Young Band', 'Lee Brice', 'Steve Azar', 'Randy Houser', 'Eric Paslay', 'Aaron Pritchett', 'Billy Currington', 'Love and Theft', 'Chris Young', 'Chuck Wicks', 'Randy Montana', 'Granger Smith', 'David Nail', 'Montgomery Gentry', 'Colt Ford', 'Terry Dan', 'Chris Cagle', 'Craig Morgan', 'Luke Bryan', 'Jake Owen', 'Roderick August', 'Jon Pardi', 'Gord Bamford', 'Easton Corbin', 'Eric Church', 'Trent Tomlinson', 'Dean Brody', 'Rodney Atkins', 'Chase Rice', 'Justin Moore', 'Emerson Drive', 'Zac Brown Band', 'Frankie Ballard', 'Tyler Farr', 'Brooks & Dunn', 'Joe Nichols', 'Josh Gracin', 'James Otto', 'Jason Aldean']",60
acoustic pop,"['Humming House', 'ROAM', 'Denis Kalytovskyi', 'Aslyn', 'The Accidentals', 'Plain Simple', 'Paul Canning', 'Man Overboard', 'Matt Walden', 'William Ryan Key', 'Maddi Jane', 'Alyssa Bernal', 'NORMANDY', 'Rachel Gavaletz', ""Fink's Mood"", 'Greg Steinfeld', 'Adam Christopher', 'Waves Rush In', 'I Call Fives', 'Jason Chen', 'Alex Francis', 'Alex G', 'Isabella Celander', 'Andy Davis', 'Ali Brustofski', 'Chloe Le Page', 'Savannah Outen', 'Alexa Goddard', 'Una Healy', 'Le Vitates', 'Marianna Leporace', 'Lulu Antariksa', 'Summer Wars', 'Eliot Morris', 'Alex Goot', 'Corey Crowder', 'Megan Young', 'Christopher Jak', 'Ben Stevenson', 'Juliet Weybret', 'Specific Coast', 'Grandview', 'Landon Austin', 'Real Friends', 'Eastmountainsouth', 'Major League', 'Derek Sanders', 'Blue-Eyed Son', 'Chrissy Dave', 'Amanda Yang', 'Pete Schmidt', 'Jaclyn Davies', 'Coco Worth', 'Nicole Cross', 'Todd Carey', 'Chris Diller', 'Graham Colton', 'Pop-Gun', 'Jake Coco', 'Acoustic Classic Rock', 'Emmerson Nogueira', 'Clara C', 'Simon Samaeng', 'Dorothy Descalsota', 'Frances Luke Accord', 'Speak Low', 'Arkadi', 'Matt Duke', 'City Lights', 'Zak Manley', 'Tiffany Alvord', 'Meekoh', 'Little Kruta', 'Griffin House', 'Seasons Change ', 'Cory Wells', 'River Paisley', 'Becca Adams', 'Kina Grannis', 'Sunset & Highland', 'State Champs', 'Filip Nordin', 'temi vila', 'Kate York', 'The Mistrals', 'Sara Farell', 'Blame Jones', 'David Berkeley', 'Chir Cataran', 'Saibh Skelly', 'Missy & Blonde', 'Matt Johnson', 'Jonah Baker', 'Roses & Frey', 'Ari Hest', 'Two Worlds', 'Trent Dabbs', 'The Acoustic Room', 'Jason Mraz', 'Linn Brikell', 'Boyce Avenue', 'Georgie Levien', 'Matt Hires', 'Five Times August', 'Clementine Duo', 'For The Win', 'Andy Lange', 'The Lyndsay Diaries', 'New Portals', 'Colin & Caroline', 'Chase Your Words', 'The Sorry Kisses', 'Lola Rhodes', 'Vendredi', 'Christian Hudson', 'Rod Ladgrove', 'Carly Lyman', 'Dave Barnes', 'Cody Francis', 'The Mayries', 'Sam & Ruby', 'Thomas Daniel', 'David Mead', 'Ark Rhodes', 'Ryan Corn', 'Jason Lux', 'Stephen Kellogg', 'Caitlin Hart', 'The Fu', 'Florez', 'Dan Berk', 'Corey Gray', 'Gardiner Sisters', 'Son&Dad', 'Angel Taylor', 'Rio Glacier', 'Jenny & Tyler', 'This Wild Life', 'Mia Rollo', 'Tay Watts', 'Jeff LeBlanc', 'Bailey Rushlow', 'Karizma Duo', 'Ruth Anna Mendoza', 'Helen Austin', 'The Luck', 'KTL', 'Molly Jenson', 'Ben Botfield', 'Jacob Wellfair', 'Megan Davies', 'Julia Sheer', 'A Loss For Words', 'Keith McInally', 'Maygen Lacey', 'Blue Merle', 'Tore', 'Fresh Big Mouf', 'Tyler Ward', 'WVNDER', 'Porcelain Heart', 'Anchor + Bell', 'Safe Bet', 'M. the Heir Apparent']",164
adult standards,"['Jack Jones', 'Astrud Gilberto', 'Neil Sedaka', 'Julie London', 'The Hilltoppers', 'Doris Day', 'Buddy Cole & His Orchestra', 'Fred Astaire', 'Lou Bring', 'Wayne Newton', 'Jimmy Durante', 'Bobby Rydell', 'Henry Mancini', 'The Four Aces', 'Carolyn Leonhart', 'Patti Page', 'Timi Yuro', 'Jerry Vale', 'Perry Como', 'Barry Manilow', 'Ray Conrad Grant, Jr.', 'Jackie Gleason', 'Ed Ames', ""Robert Arthur O'Neal"", 'John Albert Jordan', 'Margaret Whiting', 'Barbra Streisand', 'Les Baxter', 'Dean Martin', 'Dick Haymes', 'The Fleetwoods', 'Al Martino', 'The Ink Spots', 'The Four Freshmen', 'Vic Damone', 'Jo Stafford', 'Tommy Edwards', 'Percy Faith', 'Nat King Cole', 'The Mills Brothers', 'Andy Williams', 'Paul Weston And His Orchestra', 'The Lettermen', 'Frankie Laine', 'Bobby Darin', 'The Rat Pack', 'Tony Bennett', 'Roberta Flack', 'Carpenters', 'Mel Tormé', 'Burt Bacharach', 'Bobby Vinton', 'Harry Connick, Jr.', 'James Darren', 'Joan Weber', 'Dinah Shore', 'Sammy Davis Jr.', 'Al Bowlly', 'Paul Anka', 'Pat Boone', 'Frank Sinatra', 'Johnny Mercer', 'Herb Alpert & The Tijuana Brass', 'Johnnie Ray', 'Robert Goulet', 'John Gary', 'Steve Lawrence', 'Norval Donahue Taborn', 'Matt Monro']",69
afrikaans pop,"['Ashton Nyte', 'Ruhan Du Toit', 'Robbie', 'Brendan Peyper', 'Corlea', 'Jammer']",6
afro adura,"['Lil Kesh', 'Martinsfeelz', 'Spyro', 'Young Jonn', 'Yung6ix', 'Skiibii', 'Miklez', 'Asake', 'Hotkeed', 'Brymo', 'Jaywon', 'Ichaba', '9ice', 'Tolani', 'Minz', 'Dotman', 'Jamopyper', 'Olamide', 'Phyno', 'Darey', 'Rexxie', 'Blaqbonez', 'Reminisce', 'Demmie Vee', 'Bella Shmurda', 'Bad Boy Timz', 'Seyi Vibez', 'Kayode', 'Teni', 'Idahams', 'Sean Tizzle', 'Vector', 'Chopstix', 'Terry G', 'BNXN', 'Ajebo Hustlers', 'Zlatan', 'Davolee', 'Chinko Ekun', 'Id Cabasa', 'Dammy Krane', 'Dagrin', 'PsychoYP', 'ODUMODUBLVCK', 'Zinoleesky', 'Oritse Femi', 'Black Sherif']",47
